"product_name","product_url","product_price","product_time_ended","product_number_of_bids","product_duration","product_end_time","product_bidders","product_feedback_name","product_feedback_url"
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Gold - NIB, NEW in Wrap","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Gold-NIB-NEW-in-Wrap/193887657242?epid=13030600264&hash=item2d249add1a%3Ag%3Axq0AAOSwnQVgHHJq&LH_Auction=1&LH_ItemCondition=1000","$344.00","Feb-13 14:23","2 bids","3 days","13 Feb 2021 at 2:23:02pm PST","2","User ID
hillcreststampsandcoins (
Feedback score
3309)",""
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Gold - NIB, NEW in Wrap","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Gold-NIB-NEW-in-Wrap/193887657242?epid=13030600264&hash=item2d249add1a%3Ag%3Axq0AAOSwnQVgHHJq&LH_Auction=1&LH_ItemCondition=1000","$344.00","Feb-13 14:23","2 bids","3 days","13 Feb 2021 at 2:23:02pm PST","2","User ID
hillcreststampsandcoins (
Feedback score
3309
)",""
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Gold - NIB, NEW in Wrap","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Gold-NIB-NEW-in-Wrap/193887657242?epid=13030600264&hash=item2d249add1a%3Ag%3Axq0AAOSwnQVgHHJq&LH_Auction=1&LH_ItemCondition=1000","$344.00","Feb-13 14:23","2 bids","3 days","13 Feb 2021 at 2:23:02pm PST","2","User ID
hillcreststampsandcoins","https://www.ebay.com/usr/hillcreststampsandcoins"
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Gold - NIB, NEW in Wrap","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Gold-NIB-NEW-in-Wrap/193887657242?epid=13030600264&hash=item2d249add1a%3Ag%3Axq0AAOSwnQVgHHJq&LH_Auction=1&LH_ItemCondition=1000","$344.00","Feb-13 14:23","2 bids","3 days","13 Feb 2021 at 2:23:02pm PST","2","User ID","https://www.ebay.com/usr/hillcreststampsandcoins"
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Gold - NIB, NEW in Wrap","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Gold-NIB-NEW-in-Wrap/193887657242?epid=13030600264&hash=item2d249add1a%3Ag%3Axq0AAOSwnQVgHHJq&LH_Auction=1&LH_ItemCondition=1000","$344.00","Feb-13 14:23","2 bids","3 days","13 Feb 2021 at 2:23:02pm PST","2","Feedback score
3309","http://feedback.ebay.com/ws/eBayISAPI.dll?ViewFeedback2&userid=hillcreststampsandcoins&ftab=AllFeedback&myworld=true&rt=nc&_trksid=p2545226.m2531.l4585"
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Gold - NIB, NEW in Wrap","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Gold-NIB-NEW-in-Wrap/193887657242?epid=13030600264&hash=item2d249add1a%3Ag%3Axq0AAOSwnQVgHHJq&LH_Auction=1&LH_ItemCondition=1000","$344.00","Feb-13 14:23","2 bids","3 days","13 Feb 2021 at 2:23:02pm PST","2","Feedback score","http://feedback.ebay.com/ws/eBayISAPI.dll?ViewFeedback2&userid=hillcreststampsandcoins&ftab=AllFeedback&myworld=true&rt=nc&_trksid=p2545226.m2531.l4585"
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Gold - NIB, NEW in Wrap","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Gold-NIB-NEW-in-Wrap/193887657242?epid=13030600264&hash=item2d249add1a%3Ag%3Axq0AAOSwnQVgHHJq&LH_Auction=1&LH_ItemCondition=1000","$344.00","Feb-13 14:23","2 bids","3 days","13 Feb 2021 at 2:23:02pm PST","2","100% positive feedback",""
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Silver","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Silver/164688418471?epid=2301649792&hash=item265831d6a7%3Ag%3AlusAAOSwCGhgEKED&LH_Auction=1&LH_ItemCondition=1000","$321.00","Feb-12 20:48","12 bids","7 days","Retracted:","10","",""
"Apple iPad Mini (5th Gen) Wi-Fi Only, 64GB - Space Gray","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Gen-Wi-Fi-Only-64GB-Space-Gray/164699541257?hash=item2658db8f09%3Ag%3Aw00AAOSwGXNgJijy&LH_Auction=1&LH_ItemCondition=1000","$360.00","Feb-12 14:21","1 bid","","","","",""
"Apple iPad Mini (5th Generation) 64GB, Wi-Fi, 7.9in - Space Gray","https://www.ebay.com/itm/Apple-iPad-Mini-5th-Generation-64GB-Wi-Fi-7-9in-Space-Gray/184649795992?epid=9030594179&hash=item2afdfc4998%3Ag%3AS-MAAOSwOFZeNtQR&LH_Auction=1&LH_ItemCondition=1000","$310.00","Feb-11 05:17","9 bids","7 days","11 Feb 2021 at 5:12:37am PST","5","User ID
jotay_766046",""
